region_id,scene_id,district,state,proposed_label,tags,model_evidence,native_input_sha256,model_run_id,priority,visible_area_m2,source_dates,source_date_seam,boundary_overlap_fraction,sampling_group,spatial_holdout_group,review_url,human_label,geometry_decision,reviewer,reviewed_at,review_status,feedback
C01.p12,C01,Fatehabad,Haryana,unburned-looking field,muted-green; horizontal-lines; pale-speckles,Small pale marks occur within otherwise continuous cultivated cover.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,3057,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p12,,,,,pending,
C01.p13,C01,Fatehabad,Haryana,unburned-looking field,green; banded; pale-marks,Horizontal bands and pale interruptions are not visibly char-like.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,2800,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p13,,,,,pending,
C01.p14,C01,Fatehabad,Haryana,unburned-looking field,green; parallel-lines; edge-clipped,Regular green cultivation texture extends to the image edge.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,3296,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p14,,,,,pending,
C01.p15,C01,Fatehabad,Haryana,unburned-looking field,green; pale-bands; linear-texture,Pale horizontal bands interrupt green cover without coherent char or ash evidence.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,2944,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p15,,,,,pending,
C01.p16,C01,Fatehabad,Haryana,unburned-looking field,muted-green; sparse-cover; edge-clipped,Uneven green and tan texture may reflect exposed soil or variable cover.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,2907,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p16,,,,,pending,
C01.p17,C01,Fatehabad,Haryana,uncertain field,tan-green; irregular-cover; dark-spots; edge-clipped,"Sparse cover and localized dark features are ambiguous between vegetation, shadow, and soil; burning is not established.",3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,uncertain-class-review,3112,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p17,,,,,pending,
C01.p18,C01,Fatehabad,Haryana,unburned-looking field,green; vertical-lines; pale-spots,Long green cultivation bands surround a few isolated pale marks.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,6646,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p18,,,,,pending,
C01.p19,C01,Fatehabad,Haryana,unburned-looking field,green; regular-rows; uniform-cover,Broad continuous green cover provides a no-burn comparison.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,6568,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p19,,,,,pending,
C01.p20,C01,Fatehabad,Haryana,unburned-looking field,green; vertical-lines; bounded-parcel,Cultivation texture remains green across the visible parcel.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,4307,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p20,,,,,pending,
C01.p21,C01,Fatehabad,Haryana,unburned-looking field,green; narrow-parcel; vertical-bands,Narrow green strips show tonal variation but no distinct char-like patch.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,1872,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p21,,,,,pending,
C01.p22,C01,Fatehabad,Haryana,unburned-looking field,muted-green; vertical-bands; pale-spots,Green cultivated cover abuts the irregular central clearing.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,12904,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p22,,,,,pending,
C01.p23,C01,Fatehabad,Haryana,unburned-looking field,muted-green; fine-lines; edge-clipped,Mostly green cover with darker features concentrated near parcel margins.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,3077,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p23,,,,,pending,
C01.p24,C01,Fatehabad,Haryana,unburned-looking field,yellow-green; dense-texture; regular-rows,Dense light-green cover lacks apparent burn-like patches.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,3090,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p24,,,,,pending,
C01.p25,C01,Fatehabad,Haryana,unburned-looking field,green; vertical-bands; dark-spots,"Dark rounded features and pale spots occur among green bands, not a coherent char surface.",3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,2878,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p25,,,,,pending,
C01.p26,C01,Fatehabad,Haryana,unburned-looking field,green; vertical-lines; uniform-cover,Green cultivation bands occupy the parcel west of the clearing.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,3406,2021-01-31,False,0.0004756619628983669,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p26,,,,,pending,
C01.c01,C01,Fatehabad,Haryana,non-field confounder,candidate-overlap; pale-soil; brown-mottling; irregular-tracks; sparse-green,The clearing has irregular pale routes and mixed brown-green patches rather than continuous cultivation rows. Disturbed ground or residue is plausible; coherent char/ash-like texture is not evident.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,5512,2021-01-31,False,0.00029398794649419373,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.c01,,,,,pending,
C01.p27,C01,Fatehabad,Haryana,unburned-looking field,candidate-overlap; green; dense-texture; irregular-margin,Textured green cover wraps around the eastern side of the clearing. The nominated outline includes part of this separate cultivated parcel.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,7891,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p27,,,,,pending,
C01.p28,C01,Fatehabad,Haryana,unburned-looking field,yellow-green; pale-patch; regular-rows; edge-clipped,A localized pale patch interrupts vegetated rows; its color alone does not establish burning.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,2830,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p28,,,,,pending,
C01.p29,C01,Fatehabad,Haryana,unburned-looking field,light-green; dense-texture; bounded-parcel,Relatively even light-green cover is enclosed by narrow pale boundaries.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,1924,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p29,,,,,pending,
C01.p30,C01,Fatehabad,Haryana,unburned-looking field,green; vertical-bands; isolated-pale-spot,Alternating green bands and a small pale spot lack coherent burn-like texture.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,6253,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p30,,,,,pending,
C01.p31,C01,Fatehabad,Haryana,unburned-looking field,green; grid-texture; tonal-bands,Green cover and intersecting cultivation lines occupy the parcel south of the clearing.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,7225,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p31,,,,,pending,
C01.p32,C01,Fatehabad,Haryana,unburned-looking field,green; horizontal-rows; edge-clipped,Dense green horizontal rows show no distinct char-like area.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,3144,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p32,,,,,pending,
C01.p33,C01,Fatehabad,Haryana,unburned-looking field,green; horizontal-bands; regular-texture,Broad green bands fill the parcel with modest tonal variation.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,4093,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p33,,,,,pending,
C01.p34,C01,Fatehabad,Haryana,unburned-looking field,green; tan-bands; horizontal-texture,"Tan strips alternate with green cover and could be exposed soil or residue, without clear burn-like evidence.",3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,6785,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p34,,,,,pending,
C01.p35,C01,Fatehabad,Haryana,unburned-looking field,muted-green; horizontal-lines; continuous-cover,A long cultivated parcel has continuous green-gray cover; darker marks are mainly at its lower margin.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,11426,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p35,,,,,pending,
C01.p36,C01,Fatehabad,Haryana,unburned-looking field,muted-green; pale-streaks; edge-clipped,Small pale streaks occur within green cover without coherent ash-like mottling.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,3026,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p36,,,,,pending,
C01.p37,C01,Fatehabad,Haryana,unburned-looking field,green; vertical-lines; dark-margin; edge-clipped,"Predominantly green cover has darker rounded features along the lower edge, plausibly vegetation or shadow.",3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,6081,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p37,,,,,pending,
C01.p38,C01,Fatehabad,Haryana,unburned-looking field,green; vertical-rows; edge-clipped,Uniform green rows occupy the visible fragment.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,2898,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p38,,,,,pending,
C01.p39,C01,Fatehabad,Haryana,unburned-looking field,green; broad-parcel; vertical-bands,A broad green strip contains faint internal tonal divisions but no clearly burn-like patch.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,16043,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p39,,,,,pending,
C01.p40,C01,Fatehabad,Haryana,unburned-looking field,green; horizontal-lines; uniform-cover,Even green cultivation texture provides another no-burn example.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,3641,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p40,,,,,pending,
C01.p41,C01,Fatehabad,Haryana,unburned-looking field,green; horizontal-bands; pale-lines,Pale horizontal lines cross otherwise green cover.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,4022,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p41,,,,,pending,
C01.p42,C01,Fatehabad,Haryana,unburned-looking field,green; fine-texture; edge-clipped,Only the upper portion of this green parcel is visible.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,1970,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p42,,,,,pending,
C01.p43,C01,Fatehabad,Haryana,unburned-looking field,pale-green; rough-texture; edge-clipped,"Dense irregular vegetated texture differs from nearby smooth rows, without coherent char-like appearance.",3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,5427,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p43,,,,,pending,
C01.p44,C01,Fatehabad,Haryana,unburned-looking field,green; vertical-bands; edge-clipped,Green and muted tan bands continue beyond the bottom edge.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,4738,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p44,,,,,pending,
C01.p45,C01,Fatehabad,Haryana,unburned-looking field,muted-green; horizontal-texture; edge-clipped,The visible parcel fragment lacks a distinct burn-like patch.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,1731,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p45,,,,,pending,
C01.p46,C01,Fatehabad,Haryana,unburned-looking field,green; fine-lines; edge-clipped,A narrow green fragment is visible below a pale dividing track.,3a4ba503ec1703c5826d9d4a99889d396f4ab078d871011b2997f1d68bb2f5ec,75bb354f-eca5-4a36-a9e5-68049024c25f,routine-review,662,2021-01-31,False,0,initial-study,spatial-C01,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C01.p46,,,,,pending,
C02.f01,C02,Fatehabad,Haryana,unburned-looking field,green; mottled; edge-clipped,Vegetated-looking surface without coherent char-like patches.,bce1ab25bef57b555daf345717a6e39ff67de85e1efb40e5bcb555396044bcbf,fa02cb05-14b1-421d-8b80-d4d5c7d4b444,routine-review,929,2022-11-05,False,0,initial-study,spatial-C02,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C02.f01,,,,,pending,
C02.f02,C02,Fatehabad,Haryana,unburned-looking field,olive; textured; edge-clipped,"Broad, fairly consistent cover lacks distinctive burn-like streaking.",bce1ab25bef57b555daf345717a6e39ff67de85e1efb40e5bcb555396044bcbf,fa02cb05-14b1-421d-8b80-d4d5c7d4b444,routine-review,2089,2022-11-05,False,0,initial-study,spatial-C02,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C02.f02,,,,,pending,
C02.f03,C02,Fatehabad,Haryana,unburned-looking field,tan; green; patchy; edge-clipped,Pale ground and green cover are visible without charcoal-like swaths.,bce1ab25bef57b555daf345717a6e39ff67de85e1efb40e5bcb555396044bcbf,fa02cb05-14b1-421d-8b80-d4d5c7d4b444,routine-review,1390,2022-11-05,False,0,initial-study,spatial-C02,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C02.f03,,,,,pending,
C02.f04,C02,Fatehabad,Haryana,unburned-looking field,green; banded; dense-cover,Bright green bands dominate this bounded parcel.,bce1ab25bef57b555daf345717a6e39ff67de85e1efb40e5bcb555396044bcbf,fa02cb05-14b1-421d-8b80-d4d5c7d4b444,routine-review,1515,2022-11-05,False,0,initial-study,spatial-C02,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C02.f04,,,,,pending,
C02.f05,C02,Fatehabad,Haryana,unburned-looking field,tan; uniform; edge-clipped,Exposed-looking ground has no clear char-and-ash pattern.,bce1ab25bef57b555daf345717a6e39ff67de85e1efb40e5bcb555396044bcbf,fa02cb05-14b1-421d-8b80-d4d5c7d4b444,routine-review,1233,2022-11-05,False,0,initial-study,spatial-C02,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C02.f05,,,,,pending,
C02.f06,C02,Fatehabad,Haryana,unburned-looking field,tan; smooth; edge-clipped,A small dark feature near the lower boundary resembles vegetation or shadow.,bce1ab25bef57b555daf345717a6e39ff67de85e1efb40e5bcb555396044bcbf,fa02cb05-14b1-421d-8b80-d4d5c7d4b444,routine-review,699,2022-11-05,False,0,initial-study,spatial-C02,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C02.f06,,,,,pending,
C02.f07,C02,Fatehabad,Haryana,unburned-looking field,pale-tan; smooth; edge-clipped,Uniform pale ground lacks visible burn-like patches.,bce1ab25bef57b555daf345717a6e39ff67de85e1efb40e5bcb555396044bcbf,fa02cb05-14b1-421d-8b80-d4d5c7d4b444,routine-review,1153,2022-11-05,False,0,initial-study,spatial-C02,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C02.f07,,,,,pending,
C02.f08,C02,Fatehabad,Haryana,unburned-looking field,green; textured; edge-clipped,Continuous green cover contrasts with the dark streaked parcels below.,bce1ab25bef57b555daf345717a6e39ff67de85e1efb40e5bcb555396044bcbf,fa02cb05-14b1-421d-8b80-d4d5c7d4b444,routine-review,1978,2022-11-05,False,0,initial-study,spatial-C02,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C02.f08,,,,,pending,
C02.f09,C02,Fatehabad,Haryana,unburned-looking field,olive; faint-rows; edge-clipped,Muted green cover and faint parallel texture are visible.,bce1ab25bef57b555daf345717a6e39ff67de85e1efb40e5bcb555396044bcbf,fa02cb05-14b1-421d-8b80-d4d5c7d4b444,routine-review,2091,2022-11-05,False,0,initial-study,spatial-C02,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C02.f09,,,,,pending,
C02.f10,C02,Fatehabad,Haryana,unburned-looking field,green; dense-cover; elongated,Consistent green texture shows no coherent burn-like region.,bce1ab25bef57b555daf345717a6e39ff67de85e1efb40e5bcb555396044bcbf,fa02cb05-14b1-421d-8b80-d4d5c7d4b444,routine-review,1809,2022-11-05,False,0,initial-study,spatial-C02,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C02.f10,,,,,pending,
C02.f11,C02,Fatehabad,Haryana,unburned-looking field,pale-tan; smooth; tree-occluded,Pale ground is partly obscured by trees near its lower end.,bce1ab25bef57b555daf345717a6e39ff67de85e1efb40e5bcb555396044bcbf,fa02cb05-14b1-421d-8b80-d4d5c7d4b444,routine-review,1268,2022-11-05,False,0,initial-study,spatial-C02,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C02.f11,,,,,pending,
C02.f12,C02,Fatehabad,Haryana,unburned-looking field,tan; elongated; faint-texture,The pale surface lacks distinct charcoal-dark patches.,bce1ab25bef57b555daf345717a6e39ff67de85e1efb40e5bcb555396044bcbf,fa02cb05-14b1-421d-8b80-d4d5c7d4b444,routine-review,3155,2022-11-05,False,0,initial-study,spatial-C02,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C02.f12,,,,,pending,
C02.f13,C02,Fatehabad,Haryana,uncertain field,brown; uniform; elongated,Darker brown ground could reflect soil or cover; burn-specific texture is absent.,bce1ab25bef57b555daf345717a6e39ff67de85e1efb40e5bcb555396044bcbf,fa02cb05-14b1-421d-8b80-d4d5c7d4b444,uncertain-class-review,1368,2022-11-05,False,0,initial-study,spatial-C02,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C02.f13,,,,,pending,
C02.f14,C02,Fatehabad,Haryana,unburned-looking field,tan; smooth; elongated,Mostly pale ground with no coherent char-like swaths.,bce1ab25bef57b555daf345717a6e39ff67de85e1efb40e5bcb555396044bcbf,fa02cb05-14b1-421d-8b80-d4d5c7d4b444,routine-review,1348,2022-11-05,False,0,initial-study,spatial-C02,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C02.f14,,,,,pending,
C02.f15,C02,Fatehabad,Haryana,unburned-looking field,brown; faint-rows; edge-clipped,Brown ground and faint linear texture provide no distinctive evidence of burning.,bce1ab25bef57b555daf345717a6e39ff67de85e1efb40e5bcb555396044bcbf,fa02cb05-14b1-421d-8b80-d4d5c7d4b444,routine-review,1737,2022-11-05,False,0,initial-study,spatial-C02,https://nipunbatra.github.io/fieldwork-scene/crop-burn-review/#C02.f15,,,,,pending,
