case_id,student_candidate_id,latitude,longitude,student_class,student_confidence,student_reported_capture,current_center_capture,current_crop_dates,date_matches,independent_assessment,provisional_regions
"C20","sw_fatehabad_75p7399_29p5233_r32553_0","29.51180620598143","75.73975682258606","1","0.609","2022-09-29","2022-05-14","2022-05-09; 2022-05-14","false","uncertain","45"
"C21","sw_fatehabad_75p7399_29p5233_r32553_1","29.52907783928896","75.73636651039124","1","0.609","2022-09-29","2022-09-29","2022-09-29","true","unburned-looking","42"
"C22","sw_fatehabad_75p3651_29p5089_r32553_2","29.516334459838983","75.36218762397766","1","0.607","2022-11-05","2022-11-05","2022-11-05","true","uncertain","66"
"C23","sw_fatehabad_75p7255_29p5233_r32553_2","29.532755849553016","75.72605609893799","1","0.582","2022-09-29","2022-09-29","2022-09-29","true","unburned-looking","56"
"C24","sw_fatehabad_75p6678_29p5233_r32553_3","29.519947580987033","75.6608784198761","1","0.579","2022-09-29","2022-05-09","2022-05-09; 2022-09-29","false","uncertain","63"
"C25","sw_fatehabad_75p2786_29p2639_r32553_1","29.25293087078874","75.27265548706055","2","0.552","2023-09-09","2023-09-09","2023-09-09","true","uncertain","64"
"C26","sw_fatehabad_75p6101_29p5233_r32553_1","29.513738908182706","75.61296343803406","1","0.538","2022-09-29","2021-01-31","2021-01-31","false","unburned-looking","56"
"C27","sw_fatehabad_75p6678_29p5233_r32553_6","29.511964931707734","75.65744519233704","1","0.532","2022-09-29","2021-01-31","2021-01-31; 2022-05-09","false","not-a-field","70"
"C28","sw_fatehabad_75p2642_29p2783_r32553_0","29.28155157513362","75.26524186134338","2","0.527","2023-09-09","2023-09-09","2023-09-09","true","uncertain","63"
"C29","sw_fatehabad_75p2786_29p2639_r32553_0","29.25814459124917","75.26863217353821","2","0.513","2023-09-09","2023-09-09","2023-09-09","true","not-a-field","57"
"C30","sw_fatehabad_75p7399_29p5233_r32553_5","29.51822973068812","75.73575496673584","2","0.496","2022-09-29","2022-05-09","2022-05-09; 2022-09-29","false","uncertain","61"
"C31","sw_fatehabad_75p2642_29p2927_r32553_1","29.290282195888846","75.25919079780579","2","0.474","2023-09-09","2023-09-09","2023-09-09","true","not-a-field","66"
"C32","sw_fatehabad_75p2786_29p2639_r32553_3","29.252902788989545","75.27795553207397","1","0.456","2023-09-09","2023-09-09","2023-09-09","true","not-a-field","46"
"C33","sw_fatehabad_75p5957_29p5233_r32553_1","29.516315787043204","75.59487462043762","1","0.449","2022-09-29","2021-01-31","2021-01-31","false","not-a-field","64"
"C34","sw_fatehabad_75p3507_29p5233_r32553_2","29.516623887732962","75.34408807754517","1","0.447","2022-11-05","2022-11-05","2022-11-05","true","uncertain","60"
"C35","sw_fatehabad_75p2498_29p3071_r32553_1","29.312549852869456","75.25563955307007","2","0.417","2023-09-09","2020-11-18","2020-11-18; 2023-09-09","false","uncertain","61"
"C36","sw_fatehabad_75p6246_29p5233_r32553_0","29.511451406399118","75.62761902809143","1","0.412","2022-09-29","2021-02-05","2021-01-31; 2021-02-05; 2022-05-09","false","not-a-field","63"
"C37","null","29.494596993903265","75.3607177734375","null","null","null","2022-11-05","2022-11-05","null","null","70"
"C38","null","29.536424391519873","75.34286499023438","null","null","null","2022-11-05","2022-11-05","null","null","42"
"C39","null","29.51850048076899","75.55709838867188","null","null","null","2022-09-29","2023-04-17; 2021-04-29; 2022-09-29","null","null","61"
"C40","null","29.517305440471745","75.6683349609375","null","null","null","2022-05-09","2022-05-09; 2022-05-14; 2022-09-29","null","null","61"
"C41","null","29.301968643332767","75.26870727539062","null","null","null","2023-09-09","2023-09-09","null","null","61"
"C42","null","29.494596993903265","75.3662109375","null","null","null","2022-11-05","2022-11-05","null","null","70"
"C43","null","29.536424391519873","75.34835815429688","null","null","null","2022-11-05","2022-11-05","null","null","50"
"C44","null","29.51850048076899","75.56259155273438","null","null","null","2021-04-29","2021-04-29; 2022-09-29","null","null","49"
"C45","null","29.517305440471745","75.673828125","null","null","null","2022-05-14","2022-05-09; 2022-05-14; 2022-09-29","null","null","59"
"C46","null","29.297178203733313","75.25772094726562","null","null","null","2023-09-09","2023-09-09","null","null","53"
"C47","null","29.494596993903265","75.3717041015625","null","null","null","2022-11-05","2022-11-05","null","null","70"
"C48","null","29.536424391519873","75.35385131835938","null","null","null","2022-11-05","2022-11-05","null","null","70"
"C49","null","29.513720234908053","75.55709838867188","null","null","null","2021-04-29","2023-04-17; 2021-04-29","null","null","36"
"C50","null","29.517305440471745","75.6793212890625","null","null","null","2022-05-09","2022-05-09; 2022-05-14","null","null","71"
"C51","null","29.297178203733313","75.26870727539062","null","null","null","2023-09-09","2023-09-09","null","null","61"
"C52","null","29.489815619374944","75.3607177734375","null","null","null","2022-11-05","2022-11-05","null","null","69"
"C53","null","29.531644992530452","75.34286499023438","null","null","null","2022-11-05","2022-11-05","null","null","43"
"C54","null","29.50893976326839","75.55709838867188","null","null","null","2021-04-29","2023-04-17; 2021-04-29","null","null","30"
"C55","null","29.512525138164005","75.6683349609375","null","null","null","2022-05-09","2022-05-09; 2022-05-14","null","null","70"
"C56","null","29.2923875393859","75.26870727539062","null","null","null","2023-09-09","2023-09-09","null","null","60"
"C57","null","29.489815619374944","75.3717041015625","null","null","null","2022-11-05","2022-11-05; 2023-04-17","null","null","70"
"C58","null","29.531644992530452","75.35385131835938","null","null","null","2022-11-05","2022-11-05","null","null","51"
"C59","null","29.50893976326839","75.56259155273438","null","null","null","2021-04-29","2021-04-29","null","null","60"
"C60","null","29.512525138164005","75.6793212890625","null","null","null","2022-05-14","2022-05-14","null","null","70"
"C61","null","29.306758858161302","75.25222778320312","null","null","null","2023-09-09","2020-11-18; 2023-09-09","null","null","61"
"C62","null","29.485034019181064","75.3607177734375","null","null","null","2022-11-05","2022-11-05","null","null","67"
"C63","null","29.52686536767757","75.34286499023438","null","null","null","2022-11-05","2022-11-05","null","null","50"
"C64","null","29.50893976326839","75.56808471679688","null","null","null","2021-04-29","2021-04-29","null","null","69"
"C65","null","29.507744610083193","75.6683349609375","null","null","null","2022-05-14","2021-01-31; 2022-05-09; 2022-05-14","null","null","58"
"C66","null","29.306758858161302","75.26870727539062","null","null","null","2023-09-09","2023-09-09","null","null","65"
"C67","null","29.485034019181064","75.3662109375","null","null","null","2022-11-05","2022-11-05","null","null","66"
"C68","null","29.52686536767757","75.34835815429688","null","null","null","2022-11-05","2022-11-05","null","null","57"
"C69","null","29.52328050082859","75.55160522460938","null","null","null","2023-04-17","2023-04-17","null","null","63"
"C70","null","29.507744610083193","75.673828125","null","null","null","2022-05-14","2022-05-14","null","null","57"
"C71","null","29.306758858161302","75.27420043945312","null","null","null","2023-09-09","2023-09-09","null","null","55"
"C72","null","29.485034019181064","75.3717041015625","null","null","null","2022-11-05","2022-11-05; 2023-04-17","null","null","61"
"C73","null","29.52686536767757","75.35385131835938","null","null","null","2022-11-05","2022-11-05","null","null","20"
"C74","null","29.52328050082859","75.55709838867188","null","null","null","2022-09-29","2023-04-17; 2022-09-29","null","null","49"
"C75","null","29.507744610083193","75.6793212890625","null","null","null","2022-05-14","2022-05-14","null","null","65"
"C76","null","29.301968643332767","75.25222778320312","null","null","null","2023-09-09","2023-09-09","null","null","65"
"C77","null","29.49937814274336","75.355224609375","null","null","null","2022-11-05","2022-11-05","null","null","61"
"C78","null","29.541203564623245","75.33737182617188","null","null","null","2022-11-05","2022-11-05","null","null","64"
"C79","null","29.52328050082859","75.56259155273438","null","null","null","2022-09-29","2022-09-29","null","null","58"
"C80","null","29.522085516983797","75.6683349609375","null","null","null","2022-09-29","2022-05-09; 2022-09-29","null","null","48"
"C81","null","29.301968643332767","75.27420043945312","null","null","null","2023-09-09","2023-09-09","null","null","43"
"C82","null","29.49937814274336","75.3607177734375","null","null","null","2022-11-05","2022-11-05","null","null","40"
"C83","null","29.541203564623245","75.34286499023438","null","null","null","2022-11-05","2022-11-05","null","null","45"
"C84","null","29.52328050082859","75.56808471679688","null","null","null","2022-09-29","2022-09-29","null","null","60"
"C85","null","29.522085516983797","75.673828125","null","null","null","2022-09-29","2022-05-09; 2022-09-29","null","null","45"
"C86","null","29.297178203733313","75.25222778320312","null","null","null","2023-09-09","2023-09-09","null","null","54"
"C87","null","29.49937814274336","75.3662109375","null","null","null","2022-11-05","2022-11-05","null","null","61"
"C88","null","29.541203564623245","75.34835815429688","null","null","null","2022-11-05","2022-11-05","null","null","60"
"C89","null","29.52328050082859","75.57357788085938","null","null","null","2022-09-29","2022-09-29","null","null","48"
"C90","null","29.522085516983797","75.6793212890625","null","null","null","2022-05-09","2022-05-09; 2022-09-29","null","null","67"
"C91","null","29.297178203733313","75.27420043945312","null","null","null","2023-09-09","2023-09-09","null","null","46"
"C92","null","29.49937814274336","75.3717041015625","null","null","null","2022-11-05","2022-11-05","null","null","71"
"C93","null","29.541203564623245","75.35385131835938","null","null","null","2022-11-05","2022-11-05","null","null","70"
"C94","null","29.51850048076899","75.55160522460938","null","null","null","2023-04-17","2023-04-17","null","null","62"
"C95","null","29.522085516983797","75.684814453125","null","null","null","2022-05-09","2022-05-09","null","null","58"
"C96","null","29.2923875393859","75.25222778320312","null","null","null","2023-09-09","2023-09-09","null","null","60"
"C97","null","29.49937814274336","75.377197265625","null","null","null","2023-04-17","2022-11-05; 2023-04-17","null","null","69"
"C98","null","29.541203564623245","75.35934448242188","null","null","null","2022-11-05","2022-11-05","null","null","62"
"C99","null","29.513720234908053","75.55160522460938","null","null","null","2023-04-17","2023-04-17","null","null","45"
"C100","null","29.517305440471745","75.684814453125","null","null","null","2022-05-09","2022-05-09; 2022-05-14","null","null","69"
"C101","null","29.2923875393859","75.27420043945312","null","null","null","2023-09-09","2023-09-09","null","null","64"
"C102","null","29.494596993903265","75.355224609375","null","null","null","2022-11-05","2022-11-05","null","null","69"
"C103","null","29.536424391519873","75.33737182617188","null","null","null","2022-11-05","2022-11-05","null","null","70"
"C104","null","29.50893976326839","75.55160522460938","null","null","null","2023-04-17","2023-04-17","null","null","52"
"C105","null","29.512525138164005","75.662841796875","null","null","null","2022-05-09","2021-01-31; 2022-05-09","null","null","70"
"C106","null","29.287596650313468","75.25222778320312","null","null","null","2023-09-09","2023-09-09","null","null","65"
"C107","null","29.494596993903265","75.377197265625","null","null","null","2023-04-17","2022-11-05; 2023-04-17","null","null","70"
"C108","null","29.536424391519873","75.35934448242188","null","null","null","2022-11-05","2022-11-05","null","null","52"
"C109","null","29.50893976326839","75.57357788085938","null","null","null","2021-04-29","2021-04-29","null","null","39"
"C110","null","29.512525138164005","75.684814453125","null","null","null","2022-05-14","2022-05-14","null","null","68"
"C111","null","29.287596650313468","75.26870727539062","null","null","null","2023-09-09","2023-09-09","null","null","64"
"C112","null","29.489815619374944","75.355224609375","null","null","null","2022-11-05","2022-11-05","null","null","64"
"C113","null","29.531644992530452","75.33737182617188","null","null","null","2022-11-05","2022-11-05","null","null","65"
"C114","null","29.504159065872628","75.55160522460938","null","null","null","2023-04-17","2023-04-17","null","null","51"
"C115","null","29.507744610083193","75.662841796875","null","null","null","2021-01-31","2021-01-31; 2022-05-09","null","null","69"
"C116","null","29.287596650313468","75.27420043945312","null","null","null","2023-09-09","2023-09-09","null","null","70"
"C117","null","29.489815619374944","75.377197265625","null","null","null","2023-04-17","2022-11-05; 2023-04-17","null","null","70"
"C118","null","29.531644992530452","75.35934448242188","null","null","null","2022-11-05","2022-11-05","null","null","69"
"C119","null","29.504159065872628","75.55709838867188","null","null","null","2021-04-29","2023-04-17; 2021-04-29","null","null","38"
"C120","null","29.507744610083193","75.684814453125","null","null","null","2022-05-14","2022-05-14","null","null","65"
"C121","null","29.311548848196015","75.24673461914062","null","null","null","2020-11-18","2020-11-18","null","null","68"
"C122","null","29.485034019181064","75.355224609375","null","null","null","2022-11-05","2022-10-22; 2022-11-05","null","null","70"
"C123","null","29.52686536767757","75.33737182617188","null","null","null","2022-11-05","2022-11-05","null","null","70"
"C124","null","29.504159065872628","75.56259155273438","null","null","null","2021-04-29","2021-04-29","null","null","63"
"C125","null","29.502963856251945","75.662841796875","null","null","null","2021-01-31","2021-01-31","null","null","50"
"C126","null","29.311548848196015","75.26321411132812","null","null","null","2020-11-18","2020-11-18; 2023-09-09","null","null","8"
"C127","null","29.485034019181064","75.377197265625","null","null","null","2023-04-17","2023-04-17","null","null","66"
"C128","null","29.52686536767757","75.35934448242188","null","null","null","2022-11-05","2022-11-05","null","null","59"
"C129","null","29.504159065872628","75.56808471679688","null","null","null","2021-04-29","2021-04-29","null","null","63"
"C130","null","29.502963856251945","75.6683349609375","null","null","null","2022-05-14","2021-01-31; 2022-05-14","null","null","49"
"C131","null","29.311548848196015","75.26870727539062","null","null","null","2023-09-09","2020-11-18; 2023-09-09","null","null","59"
"C132","null","29.48025219334425","75.355224609375","null","null","null","2022-10-22","2022-10-22; 2022-11-05","null","null","70"
"C133","null","29.522085516983797","75.33737182617188","null","null","null","2022-11-05","2022-11-05","null","null","64"
"C134","null","29.504159065872628","75.57357788085938","null","null","null","2021-04-29","2021-04-29","null","null","57"
"C135","null","29.502963856251945","75.673828125","null","null","null","2022-05-14","2022-05-14","null","null","66"
"C136","null","29.311548848196015","75.27420043945312","null","null","null","2023-09-09","2020-11-18; 2023-09-09","null","null","62"
"C137","null","29.48025219334425","75.3607177734375","null","null","null","2022-10-22","2022-10-22; 2022-11-05","null","null","67"
"C138","null","29.522085516983797","75.34286499023438","null","null","null","2022-11-05","2022-11-05","null","null","57"
"C139","null","29.528060295064257","75.54611206054688","null","null","null","2023-04-17","2023-04-17","null","null","63"
"C140","null","29.502963856251945","75.6793212890625","null","null","null","2022-05-14","2022-05-14","null","null","68"
